"ID","Apelido","ClubeID","PosicaoID"
89898,"Róger Guedes",275,5
89919,"Dudu",284,4
89924,"Bruno Ramires",287,4
89930,"Andrigo",373,4
89976,"Geferson",287,2
90031,"Mendoza",265,5
90061,"Bruno Pacheco",373,2
90285,"Bruno Henrique",277,5
90290,"Jailson",284,4
90302,"Pedro Rocha",284,5
90303,"Lincoln",284,4
90309,"David",287,5
90331,"Vitor",284,1
90334,"Araújo",284,4
90335,"Jeferson Negueba",284,4
90366,"Luiz Fernando ",266,4
90399,"Fernandes",263,4
90406,"Crysan",293,5
90444,"Moisés",264,2
90455,"Jefferson Nem",373,5
90531,"Raul",284,2
90532,"Arthur",284,4
90535,"Alex",283,4
90566,"Rafael Longuine",294,4
90569,"Yuri",277,4
90586,"Jefferson",292,3
90587,"Cascardo",293,2
90634,"Lucas Mineiro",315,4
90651,"Rodrigão",265,5
90715,"Luiz Fernando ",373,4
90768,"Fabrício Bruno",315,3
90843,"Elias",315,1
90892,"Wallace",287,1
90899,"Lucas Fernandes",293,5
90933,"Jean",265,1
90959,"Pavez",293,4
91001,"Evandro",292,2
91003,"Alison",292,5
91094,"Ábila",283,5
91100,"Alípio",373,4
91101,"Ronaldo",287,1
91102,"Flávio",287,4
91156,"Jesiel",282,3
91191,"Gustavo Blanco",282,4
91194,"Thiago",262,1
91201,"Pepê",284,5
91203,"Éder ",265,3
91204,"Warleson",293,1
91260,"Lucas Perri",276,1
91264,"Matheus Savio",262,4
91318,"João Paulo Sanches",373,6
91359,"Bruno Bispo",287,3
91388,"Rodrigo Ramos",294,2
91508,"Leonardo Valencia",263,4
91519,"Kazim",264,5
91573,"Arboleda",276,3
91634,"Careca",283,4
91654,"Daniel dos Anjos",373,5
91664,"Adryelson",292,3
91687,"João Pedro",293,4
91688,"Eduardo",283,4
91706,"Marlon",266,2
91714,"Marciel",264,4
91715,"Matheus Cassini",303,4
91743,"Wesley Natã",315,5
91783,"Diego",293,2
91808,"Caíque França",264,1
91815,"Nogueira",266,3
91842,"Breno",293,2
